===== V4 =====
direto_de[0x77619322427f006b14DA3Dbb25F9eb420372f7c7] wallet=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c referrer=0x77619322427f006b14DA3Dbb25F9eb420372f7c7 stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0xEd324c73fae8bCbC3318123a025ec47A41E20b71 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0x5b4b91aA04e2722ebAF4A6090970c1c92BEe1090 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0xd7A8484fD713D28870FCd4ad198fAB9e3ffDedB1 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0xB783cC9C7785caf201d77167eCB60f381AAca9d9 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0x11B9aF1e89C2c51aB39be59Ea248Cb6a495Cb84e referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0x28c438cb3Ab95B6dEE755A3f3570943b52C7b0F4 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0x3b791FF255AD221475e5551FfE0FB605b9753257 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0xC06cedf252139469B797b719B97C0541dab7aC77 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0x9D173220DA490ea1374F818106707D6a749fe700 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0x8986e36a8814b3783c0C4034654708115349b356 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0xE42Ea653Be137954b0bFF7193c06A363CEccbB3b referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0xF077609b70baF4eA503E54D1731d65eB4eBB149e referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0xe9A61001c79287C300378F5caB528baec36274Cd referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0x9Db81f4E9CdD28C1497cC147bE36055A8859E034 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0x9A38A4b356536302fdF80A114C70cbC5a9A3E8d1 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0xa3Ebe62F3493DEfe02F828183796d26b39312C51 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0x76a5cbf390Cb72AC820857FAA7f8F5a9152B579C referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c] wallet=0xd784b8c7B8ADCF81dEEAbB75883656a39728C4B0 referrer=0xFfAF2525F659aC7Da49dfCd4D15b12eFc578539c stakes=1
direto_de[0xEd324c73fae8bCbC3318123a025ec47A41E20b71] wallet=0xB863C989b252749f89d14086fabB40E5f17ab77D referrer=0xEd324c73fae8bCbC3318123a025ec47A41E20b71 stakes=1
direto_de[0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E] wallet=0xf4e45cdD6778d9b644ef70936ac6d1335D31F578 referrer=0x470a2608fa72f823d4C32Bf32f3ea318fb995c6E stakes=0
